Operation,Index,Time(ns),Operations
Delete,290,1900,28
Delete,291,1900,28
Delete,292,2500,24
Delete,293,1400,26
Delete,294,1700,26
Delete,295,1900,26
Delete,296,1600,26
Delete,297,1400,26
Delete,298,1300,26
Delete,299,1500,26
Delete,300,1600,28
Delete,301,2000,30
Delete,302,2100,26
Delete,303,1700,28
Delete,304,2200,22
Delete,305,2300,32
Delete,306,1300,26
Delete,307,1900,26
Delete,308,2400,30
Delete,309,1300,26
Delete,310,2000,28
Delete,311,2300,26
Delete,312,2200,24
Delete,313,2200,26
Delete,314,2100,26
Delete,315,2000,26
Delete,316,2300,28
Delete,317,2400,30
Delete,318,1800,26
Delete,319,1800,30
Delete,320,1600,24
Delete,321,2100,30
Delete,322,1400,28
Delete,323,2100,24
Delete,324,2200,28
Delete,325,2100,26
Delete,326,1600,26
Delete,327,2100,24
Delete,328,1900,24
Delete,329,2000,28
Delete,330,1700,28
Delete,331,1800,28
Delete,332,2200,26
Delete,333,1500,24
Delete,334,1200,26
Delete,335,1600,30
Delete,336,1500,26
Delete,337,1700,26
Delete,338,2100,28
Delete,339,1700,28
Delete,340,2100,26
Delete,341,2400,26
Delete,342,2000,28
Delete,343,1300,26
Delete,344,1800,26
Delete,345,1600,26
Delete,346,1400,22
Delete,347,1800,28
Delete,348,1600,26
Delete,349,1800,26
Delete,350,2900,28
Delete,351,1800,24
Delete,352,2000,30
Delete,353,2200,30
Delete,354,1400,24
Delete,355,1300,26
Delete,356,1500,28
Delete,357,2100,32
Delete,358,1500,24
Delete,359,1300,26
Delete,360,2000,28
Delete,361,1700,26
Delete,362,1500,26
Delete,363,2100,30
Delete,364,1800,30
Delete,365,1700,26
Delete,366,2300,26
Delete,367,1700,24
Delete,368,1400,26
Delete,369,2300,28
Delete,370,1800,24
Delete,371,1600,26
Delete,372,2600,30
Delete,373,1300,22
Delete,374,2100,22
Delete,375,1600,22
Delete,376,2000,32
Delete,377,1900,28
Delete,378,1300,24
Delete,379,1300,26
Delete,380,1500,26
Delete,381,1900,30
Delete,382,1600,28
Delete,383,1700,26
Delete,384,3500,30
Delete,385,1600,30
Delete,386,2700,24
Delete,387,2200,30
Delete,388,1600,28
Delete,389,1800,26
Delete,390,2700,30
Delete,391,1900,26
Delete,392,1600,28
Delete,393,1500,24
Delete,394,2500,28
Delete,395,1400,22
Delete,396,1400,24
Delete,397,2100,28
Delete,398,1800,26
Delete,399,1400,28
Delete,400,1900,24
Delete,401,1800,26
Delete,402,2100,28
Delete,403,1600,32
Delete,404,1400,24
Delete,405,2200,32
Delete,406,1600,26
Delete,407,1800,28
Delete,408,1300,24
Delete,409,1900,26
Delete,410,1700,28
Delete,411,1700,28
Delete,412,1700,30
Delete,413,2000,30
Delete,414,2100,24
Delete,415,2100,22
Delete,416,1300,26
Delete,417,1600,28
Delete,418,2100,26
Delete,419,1200,26
Delete,420,1700,30
Delete,421,2400,30
Delete,422,1400,28
Delete,423,1700,30
Delete,424,2800,30
Delete,425,2100,28
Delete,426,1200,26
Delete,427,1500,26
Delete,428,1900,28
Delete,429,2200,26
Delete,430,1600,28
Delete,431,1800,28
Delete,432,2900,24
Delete,433,1400,28
Delete,434,1400,24
Delete,435,1100,24
Delete,436,2400,28
Delete,437,1700,24
Delete,438,2100,32
Delete,439,1600,26
Delete,440,2000,30
Delete,441,2400,28
Delete,442,2200,28
Delete,443,2200,30
Delete,444,1400,26
Delete,445,1200,26
Delete,446,1700,26
Delete,447,1900,28
Delete,448,2000,32
Delete,449,1900,32
Delete,450,1600,26
Delete,451,14900,24
Delete,452,1800,28
Delete,453,1500,30
Delete,454,1600,26
Delete,455,1800,28
Delete,456,1700,26
Delete,457,1400,28
Delete,458,1300,22
Delete,459,1700,30
Delete,460,1600,24
Delete,461,1600,24
Delete,462,2400,28
Delete,463,1500,28
Delete,464,1400,32
Delete,465,1700,30
Delete,466,1800,28
Delete,467,1300,26
Delete,468,1600,24
Delete,469,1600,22
Delete,470,1900,28
Delete,471,1800,28
Delete,472,2500,28
Delete,473,1500,22
Delete,474,1400,26
Delete,475,2000,26
Delete,476,2600,30
Delete,477,1700,26
Delete,478,2000,30
Delete,479,2000,24
Delete,480,1300,26
Delete,481,1700,28
Delete,482,1600,26
Delete,483,1500,26
Delete,484,1800,32
Delete,485,1300,26
Delete,486,1700,24
Delete,487,2100,26
Delete,488,1400,30
Delete,489,2100,26
Delete,490,1300,24
Delete,491,1800,26
Delete,492,2100,26
Delete,493,1700,28
Delete,494,1900,28
Delete,495,1200,26
Delete,496,2000,26
Delete,497,2200,26
Delete,498,2000,28
Delete,499,1300,24
Delete,500,1400,30
Delete,501,1200,24
Delete,502,1400,30
Delete,503,2200,28
Delete,504,2200,24
Delete,505,1200,24
Delete,506,2200,28
Delete,507,2100,26
Delete,508,1300,28
Delete,509,1400,26
Delete,510,1500,26
Delete,511,1500,24
Delete,512,15900,28
Delete,513,1400,28
Delete,514,2000,26
Delete,515,1600,30
Delete,516,1900,26
Delete,517,1700,26
Delete,518,2100,32
Delete,519,87400,30
Delete,520,2400,24
Delete,521,2800,28
Delete,522,2300,30
Delete,523,1900,24
Delete,524,2600,26
Delete,525,3000,26
Delete,526,1800,30
Delete,527,2500,26
Delete,528,2300,28
Delete,529,2100,28
Delete,530,1800,26
Delete,531,1400,24
Delete,532,1500,24
Delete,533,2100,28
Delete,534,2000,30
Delete,535,2500,28
Delete,536,2100,26
Delete,537,1900,28
Delete,538,1600,28
Delete,539,2200,26
Delete,540,1700,24
Delete,541,1400,26
Delete,542,2600,28
Delete,543,1900,26
Delete,544,2000,28
Delete,545,1600,24
Delete,546,2400,26
Delete,547,1700,24
Delete,548,2400,24
Delete,549,1700,26
Delete,550,1600,28
Delete,551,1600,26
Delete,552,1500,22
Delete,553,2600,26
Delete,554,1900,26
Delete,555,1400,26
Delete,556,3200,30
Delete,557,1800,30
Delete,558,1600,24
Delete,559,1900,28
Delete,560,1500,26
Delete,561,2000,32
Delete,562,1400,24
Delete,563,2400,22
Delete,564,1900,28
Delete,565,1800,26
Delete,566,1700,26
Delete,567,2000,26
Delete,568,1600,26
Delete,569,1500,28
Delete,570,3100,28
Delete,571,1500,24
Delete,572,1900,28
Delete,573,2500,32
Delete,574,2300,28
Delete,575,1700,26
Delete,576,2000,24
Delete,577,1600,24
Delete,578,1600,30
Delete,579,1400,26
Delete,580,1500,26
Delete,581,1900,28
Delete,582,2000,26
Delete,583,2100,24
Delete,584,2100,28
Delete,585,1500,30
Delete,586,1400,24
Delete,587,1500,24
Delete,588,1300,24
Delete,589,1900,32
Delete,590,1600,28
Delete,591,2900,30
Delete,592,1900,26
Delete,593,1700,28
Delete,594,2100,30
Delete,595,1700,32
Delete,596,1300,22
Delete,597,2100,24
Delete,598,1500,26
Delete,599,1700,28
Delete,600,1600,24
Delete,601,3400,32
Delete,602,2000,26
Delete,603,1200,22
Delete,604,1800,30
Delete,605,2100,32
Delete,606,1600,26
Delete,607,1500,26
Delete,608,1800,26
Delete,609,1600,26
Delete,610,1700,28
Delete,611,1600,28
Delete,612,1400,24
Delete,613,1600,26
Delete,614,1400,28
Delete,615,2100,30
Delete,616,1900,28
Delete,617,1800,30
Delete,618,2100,24
Delete,619,2100,28
Delete,620,1600,28
Delete,621,1600,26
Delete,622,1600,28
Delete,623,1800,26
Delete,624,2300,30
Delete,625,1500,26
Delete,626,2200,30
Delete,627,2100,26
Delete,628,2100,26
Delete,629,2100,26
Delete,630,2000,30
Delete,631,1500,30
Delete,632,1700,28
Delete,633,1700,26
Delete,634,2100,26
Delete,635,1600,26
Delete,636,1700,28
Delete,637,2000,24
Delete,638,1400,24
Delete,639,1500,24
Delete,640,3200,26
Delete,641,1700,26
Delete,642,1500,22
Delete,643,1600,26
Delete,644,1900,26
Delete,645,1500,24
Delete,646,2000,26
Delete,647,1700,30
Delete,648,1600,28
Delete,649,1900,26
Delete,650,1800,30
Delete,651,1800,28
Delete,652,1700,28
Delete,653,1400,22
Delete,654,1400,28
Delete,655,1700,28
Delete,656,1400,26
Delete,657,1500,26
Delete,658,1900,28
Delete,659,1600,28
Delete,660,1600,26
Delete,661,1400,28
Delete,662,1300,26
Delete,663,1600,26
Delete,664,1800,26
Delete,665,1500,26
Delete,666,1400,28
Delete,667,1200,26
Delete,668,2000,30
Delete,669,1600,26
Delete,670,1900,28
Delete,671,1500,26
Delete,672,2100,26
Delete,673,2300,28
Delete,674,3000,28
Delete,675,1700,28
Delete,676,2200,28
Delete,677,1700,26
Delete,678,2200,26
Delete,679,9600,22
Delete,680,1400,22
Delete,681,1300,28
Delete,682,1800,30
Delete,683,1700,28
Delete,684,1500,28
Delete,685,1800,28
Delete,686,1900,28
Delete,687,1700,26
Delete,688,2000,34
Delete,689,1800,30
Delete,690,2100,30
Delete,691,1800,28
Delete,692,2000,32
Delete,693,1400,28
Delete,694,2000,28
Delete,695,1600,24
Delete,696,2000,24
Delete,697,22300,32
Delete,698,1800,32
Delete,699,1600,24
Delete,700,2200,28
Delete,701,3100,30
Delete,702,1800,30
Delete,703,1900,28
Delete,704,1600,28
Delete,705,1800,32
Delete,706,4600,30
Delete,707,1500,28
Delete,708,1600,26
Delete,709,2400,26
Delete,710,1500,24
Delete,711,1500,26
Delete,712,1700,28
Delete,713,2100,26
Delete,714,1800,26
Delete,715,1900,28
Delete,716,1900,30
Delete,717,2000,28
Delete,718,2600,30
Delete,719,2000,26
Delete,720,1800,28
Delete,721,1500,28
Delete,722,1400,26
Delete,723,2400,32
Delete,724,1500,28
Delete,725,1500,28
