Operation,Index,Time(ns),Operations
Insert,290,1300,17
Insert,291,1200,17
Insert,292,1400,19
Insert,293,1200,17
Insert,294,1400,21
Insert,295,1200,17
Insert,296,1200,19
Insert,297,1300,19
Insert,298,1200,19
Insert,299,1400,21
Insert,300,1200,17
Insert,301,1400,21
Insert,302,2200,17
Insert,303,1300,17
Insert,304,3000,21
Insert,305,2200,17
Insert,306,600,19
Insert,307,700,19
Insert,308,500,17
Insert,309,700,19
Insert,310,1500,19
Insert,311,500,17
Insert,312,600,17
Insert,313,500,19
Insert,314,600,21
Insert,315,500,15
Insert,316,500,15
Insert,317,600,17
Insert,318,500,15
Insert,319,500,17
Insert,320,500,17
Insert,321,600,19
Insert,322,500,15
Insert,323,800,21
Insert,324,500,17
Insert,325,700,19
Insert,326,600,19
Insert,327,500,17
Insert,328,500,15
Insert,329,600,19
Insert,330,600,19
Insert,331,500,17
Insert,332,600,19
Insert,333,600,17
Insert,334,1500,21
Insert,335,600,19
Insert,336,600,21
Insert,337,600,19
Insert,338,600,21
Insert,339,600,19
Insert,340,600,19
Insert,341,600,21
Insert,342,500,17
Insert,343,500,15
Insert,344,600,21
Insert,345,600,17
Insert,346,1400,19
Insert,347,700,19
Insert,348,600,17
Insert,349,500,17
Insert,350,600,21
Insert,351,600,17
Insert,352,600,19
Insert,353,600,21
Insert,354,600,21
Insert,355,600,19
Insert,356,600,17
Insert,357,500,19
Insert,358,600,19
Insert,359,500,19
Insert,360,600,17
Insert,361,600,19
Insert,362,600,19
Insert,363,500,19
Insert,364,600,17
Insert,365,500,19
Insert,366,600,19
Insert,367,600,19
Insert,368,800,21
Insert,369,700,21
Insert,370,700,23
Insert,371,700,21
Insert,372,600,21
Insert,373,500,17
Insert,374,600,23
Insert,375,600,21
Insert,376,600,21
Insert,377,500,17
Insert,378,600,21
Insert,379,600,21
Insert,380,600,19
Insert,381,500,17
Insert,382,500,17
Insert,383,800,23
Insert,384,2200,21
Insert,385,600,15
Insert,386,600,19
Insert,387,700,23
Insert,388,600,21
Insert,389,500,19
Insert,390,500,15
Insert,391,500,19
Insert,392,600,19
Insert,393,700,23
Insert,394,600,17
Insert,395,500,19
Insert,396,500,17
Insert,397,600,21
Insert,398,600,17
Insert,399,700,21
Insert,400,600,21
Insert,401,600,19
Insert,402,700,21
Insert,403,600,21
Insert,404,600,23
Insert,405,600,21
Insert,406,600,17
Insert,407,500,17
Insert,408,600,23
Insert,409,700,21
Insert,410,600,23
Insert,411,600,19
Insert,412,500,17
Insert,413,3300,21
Insert,414,500,19
Insert,415,700,25
Insert,416,500,17
Insert,417,700,21
Insert,418,600,17
Insert,419,700,21
Insert,420,500,17
Insert,421,600,21
Insert,422,600,21
Insert,423,600,15
Insert,424,600,19
Insert,425,600,21
Insert,426,600,19
Insert,427,600,17
Insert,428,600,23
Insert,429,700,23
Insert,430,600,19
Insert,431,600,23
Insert,432,600,17
Insert,433,600,15
Insert,434,600,19
Insert,435,500,19
Insert,436,600,19
Insert,437,500,15
Insert,438,600,19
Insert,439,600,25
Insert,440,700,25
Insert,441,600,19
Insert,442,500,17
Insert,443,500,17
Insert,444,600,19
Insert,445,1200,21
Insert,446,600,17
Insert,447,500,19
Insert,448,700,23
Insert,449,600,21
Insert,450,600,19
Insert,451,600,23
Insert,452,600,21
Insert,453,500,19
Insert,454,600,19
Insert,455,600,19
Insert,456,500,19
Insert,457,1200,19
Insert,458,600,19
Insert,459,700,19
Insert,460,700,23
Insert,461,600,17
Insert,462,700,23
Insert,463,600,19
Insert,464,500,17
Insert,465,600,21
Insert,466,600,17
Insert,467,500,19
Insert,468,600,21
Insert,469,600,17
Insert,470,600,21
Insert,471,600,21
Insert,472,700,21
Insert,473,600,21
Insert,474,600,21
Insert,475,600,19
Insert,476,600,17
Insert,477,700,21
Insert,478,600,19
Insert,479,600,21
Insert,480,600,19
Insert,481,600,21
Insert,482,600,19
Insert,483,600,21
Insert,484,600,19
Insert,485,600,23
Insert,486,2500,21
Insert,487,700,21
Insert,488,700,19
Insert,489,600,21
Insert,490,500,17
Insert,491,600,21
Insert,492,500,19
Insert,493,600,21
Insert,494,700,23
Insert,495,600,23
Insert,496,600,21
Insert,497,600,21
Insert,498,600,19
Insert,499,600,21
Insert,500,600,19
Insert,501,700,23
Insert,502,500,19
Insert,503,600,19
Insert,504,600,17
Insert,505,600,19
Insert,506,600,19
Insert,507,700,23
Insert,508,600,17
Insert,509,500,21
Insert,510,600,21
Insert,511,1100,17
Insert,512,3700,17
Insert,513,700,19
Insert,514,600,21
Insert,515,600,15
Insert,516,600,19
Insert,517,600,17
Insert,518,700,21
Insert,519,700,19
Insert,520,700,23
Insert,521,500,15
Insert,522,600,25
Insert,523,600,17
Insert,524,600,21
Insert,525,600,21
Insert,526,600,19
Insert,527,600,19
Insert,528,600,23
Insert,529,500,19
Insert,530,700,21
Insert,531,600,23
Insert,532,600,19
Insert,533,500,17
Insert,534,600,21
Insert,535,500,21
Insert,536,600,21
Insert,537,600,21
Insert,538,700,23
Insert,539,600,19
Insert,540,700,23
Insert,541,500,19
Insert,542,700,21
Insert,543,500,19
Insert,544,700,19
Insert,545,700,23
Insert,546,600,21
Insert,547,600,21
Insert,548,600,17
Insert,549,700,23
Insert,550,600,21
Insert,551,800,19
Insert,552,600,21
Insert,553,1300,21
Insert,554,600,23
Insert,555,600,21
Insert,556,500,17
Insert,557,500,17
Insert,558,600,21
Insert,559,600,21
Insert,560,600,19
Insert,561,500,17
Insert,562,600,21
Insert,563,600,21
Insert,564,600,19
Insert,565,1200,21
Insert,566,600,23
Insert,567,600,19
Insert,568,600,19
Insert,569,600,21
Insert,570,600,21
Insert,571,700,21
Insert,572,600,19
Insert,573,600,21
Insert,574,600,21
Insert,575,500,19
Insert,576,600,17
Insert,577,700,23
Insert,578,600,21
Insert,579,600,23
Insert,580,600,21
Insert,581,600,21
Insert,582,500,17
Insert,583,500,19
Insert,584,600,23
Insert,585,600,21
Insert,586,600,23
Insert,587,2100,19
Insert,588,600,21
Insert,589,700,23
Insert,590,600,19
Insert,591,600,19
Insert,592,700,25
Insert,593,700,25
Insert,594,700,23
Insert,595,700,25
Insert,596,700,23
Insert,597,700,19
Insert,598,600,23
Insert,599,600,19
Insert,600,600,23
Insert,601,600,17
Insert,602,700,25
Insert,603,700,25
Insert,604,600,19
Insert,605,600,21
Insert,606,42300,21
Insert,607,1100,21
Insert,608,1000,21
Insert,609,700,15
Insert,610,900,25
Insert,611,900,23
Insert,612,800,21
Insert,613,800,21
Insert,614,700,17
Insert,615,900,19
Insert,616,1000,19
Insert,617,900,19
Insert,618,1000,25
Insert,619,800,19
Insert,620,900,19
Insert,621,900,19
Insert,622,1000,23
Insert,623,700,19
Insert,624,1000,23
Insert,625,1000,21
Insert,626,800,21
Insert,627,1000,23
Insert,628,900,23
Insert,629,900,19
Insert,630,900,19
Insert,631,800,21
Insert,632,800,25
Insert,633,1000,21
Insert,634,700,17
Insert,635,900,21
Insert,636,1000,23
Insert,637,800,23
Insert,638,800,19
Insert,639,900,21
Insert,640,2100,17
Insert,641,800,21
Insert,642,800,23
Insert,643,800,17
Insert,644,900,19
Insert,645,800,21
Insert,646,700,17
Insert,647,1000,23
Insert,648,800,19
Insert,649,800,19
Insert,650,900,25
Insert,651,700,19
Insert,652,800,19
Insert,653,700,19
Insert,654,600,16
Insert,655,900,23
Insert,656,700,21
Insert,657,10600,17
Insert,658,900,19
Insert,659,700,19
Insert,660,1000,21
Insert,661,900,19
Insert,662,900,21
Insert,663,800,19
Insert,664,800,23
Insert,665,900,19
Insert,666,1000,21
Insert,667,900,23
Insert,668,900,19
Insert,669,2200,21
Insert,670,1000,21
Insert,671,1100,19
Insert,672,900,15
Insert,673,900,21
Insert,674,1000,23
Insert,675,900,19
Insert,676,900,21
Insert,677,900,21
Insert,678,1000,21
Insert,679,800,23
Insert,680,900,21
Insert,681,1200,25
Insert,682,1000,21
Insert,683,1800,23
Insert,684,1100,23
Insert,685,800,21
Insert,686,700,21
Insert,687,700,19
Insert,688,700,21
Insert,689,700,23
Insert,690,600,23
Insert,691,600,21
Insert,692,700,25
Insert,693,600,17
Insert,694,600,21
Insert,695,500,19
Insert,696,600,23
Insert,697,600,17
Insert,698,600,21
Insert,699,600,19
Insert,700,600,21
Insert,701,3900,21
Insert,702,600,21
Insert,703,600,21
Insert,704,500,21
Insert,705,600,19
Insert,706,700,21
Insert,707,600,19
Insert,708,600,19
Insert,709,700,23
Insert,710,600,19
Insert,711,700,21
Insert,712,600,17
Insert,713,500,19
Insert,714,600,19
Insert,715,500,19
Insert,716,500,19
Insert,717,500,17
Insert,718,700,21
Insert,719,600,19
Insert,720,600,19
